diseased,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07
0,118,161,65,59,351,214,209
0,754,-573,531,565,3142,585,1107
1,893,766,520,783,871,927,764
0,522,-289,147,152,108,555,878
0,427,-345,140,131,-7,497,673
0,185,-303,92,0,47,168,322
0,222,889,124,291,863,605,355
0,416,186,108,229,565,778,811
0,403,96,132,240,553,595,633
0,619,507,277,426,-2957,1101,942
0,346,871,160,299,1365,953,817
0,226,442,156,309,488,263,95
0,669,147,301,436,695,788,682
1,3056,2553,3177,3024,2949,2862,2746
1,288,-1147,164,6,-549,-59,291
0,358,-319,197,242,-86,186,205
1,358,-319,197,242,-86,186,205
0,138,-681,262,2,-400,-196,31
0,390,-191,195,264,205,220,200
0,574,464,312,440,865,1028,954
1,282,-574,169,138,-175,90,323
1,585,-156,269,337,277,801,863
1,44,-61,144,43,80,181,163
0,357,-518,166,170,2531,553,564
0,1362,608,1395,1268,617,1149,1281
0,121,45,178,164,32,284,284
0,349,-19,160,218,250,475,475
0,531,126,129,361,660,630,811
0,298,209,45,119,790,686,677
1,69,-14,27,30,125,235,354
1,468,542,290,384,903,914,746
1,156,15,88,103,650,278,225
1,156,15,88,103,650,278,225
1,739,561,576,655,974,938,1081
1,739,561,576,655,974,938,1081
1,739,561,576,655,974,938,1081
1,739,561,576,655,974,938,1081
1,739,561,576,655,974,938,1081
1,739,561,576,655,974,938,1081
1,739,561,576,655,974,938,1081
1,739,561,576,655,974,938,1081
1,739,561,576,655,974,938,1081
1,739,561,576,655,974,938,1081
1,739,561,576,655,974,938,1081
1,739,561,576,655,974,938,1081
1,739,561,576,655,974,938,1081
1,528,504,202,344,-2704,992,833
1,528,504,202,344,-2704,992,833
1,528,504,202,344,-2704,992,833
1,528,504,202,344,-2704,992,833
1,528,504,202,344,-2704,992,833
1,162,-14,184,104,221,255,173
0,339,-566,31,29,-344,490,757
0,339,-566,31,29,-344,490,757
0,471,495,145,290,589,954,871
0,344,-31,195,222,83,410,345
1,79,-649,11,-110,-267,-243,-14
0,372,211,190,193,572,559,372
0,372,211,190,193,572,559,372
0,297,-242,126,186,-77,244,296
0,2061,1560,1945,2013,1790,1841,1460
1,1241,1158,1175,1278,1291,1223,931
1,2235,1400,2084,2214,1727,1720,1467
1,264,-470,132,137,-77,202,290
0,223,-856,43,-5,-663,190,427
0,265,-255,-94,84,108,302,336
1,402,229,197,306,-592,594,496
0,295,344,177,310,822,529,364
0,359,257,250,363,529,546,377
1,19,-989,47,-145,-863,-382,-60
1,370,542,212,334,639,493,347
1,-85,-1334,-50,-248,-1324,-505,-140
1,-92,-720,-28,-185,-480,-487,-147
1,-92,-720,-28,-185,-480,-487,-147
0,-53,-1323,-44,-235,-1520,-468,-138
1,-115,-1542,-1,-319,-1372,-647,-285
1,-148,-1351,-48,-322,-1156,-496,-204
0,91,-218,108,177,54,-95,-58
1,232,304,101,197,552,372,409
1,144,437,70,167,253,299,157
1,168,-270,98,55,46,145,170
0,226,-962,63,6,-535,-133,134
1,30,-1147,20,-177,-1048,-338,-23
1,-74,-399,29,-49,-536,-536,-280
1,58,181,62,66,55,125,92
0,468,467,212,391,477,621,515
1,504,632,244,364,714,998,725
1,587,656,294,405,1128,1092,925
0,389,379,128,263,851,645,512
1,205,89,98,128,-1067,321,234
0,223,660,129,195,1064,590,370
1,8,-28,-4,-28,-36,-17,8
1,2315,-159,2531,2194,32,476,847
