Location ID,HostGenusID,HostSpeciesID,PathogenGenusID,PathogenSpeciesID,Latitude,Longitude,Altitude,GrowthStageID,SeverityStem,SeverityLeaf,SeverityStripe,Diseased,ObsDate
46243,2,1,2,0,7.24228,40.69785,1985,6,2,2,0,1,8/16/08 0:00
45725,2,1,2,0,9.52,37.48,2156,2,2,2,0,1,9/9/08 0:00
45728,2,1,2,0,9.52,37.48,2156,3,3,1,1,1,9/9/08 0:00
45733,2,1,2,0,9.52,37.48,2156,3,3,2,0,1,9/9/08 0:00
45734,2,1,2,0,9.52,37.48,2156,3,2,2,0,1,9/9/08 0:00
46159,2,1,2,0,10.700418,37.176933,2018,4,2,0,0,1,9/9/08 0:00
45720,2,1,2,0,9.52,37.48,2156,2,2,2,0,1,10/11/08 0:00
45721,2,1,2,0,9.52,37.48,2156,-9,3,1,0,1,10/11/08 0:00
45722,2,1,2,0,9.52,37.48,2156,3,2,2,0,1,10/11/08 0:00
45724,2,1,2,0,9.52,37.48,2156,-9,2,1,0,1,10/11/08 0:00
45726,2,1,2,0,9.52,37.48,2156,4,3,1,0,1,10/11/08 0:00
45727,2,1,2,0,9.52,37.48,2156,4,2,1,0,1,10/11/08 0:00
45729,2,1,2,0,9.52,37.48,2156,4,3,1,0,1,10/11/08 0:00
45730,2,1,2,0,9.52,37.48,2156,4,3,1,0,1,10/11/08 0:00
45735,2,1,2,0,9.52,37.48,2156,4,2,1,0,1,10/11/08 0:00
45736,2,1,2,0,9.52,37.48,2156,3,3,3,0,1,10/11/08 0:00
45737,2,1,2,0,9.52,37.48,2156,2,3,2,0,1,10/11/08 0:00
45738,2,1,2,0,9.52,37.48,2156,3,2,1,0,1,10/11/08 0:00
46149,2,1,2,0,11.51521,37.5951,2635,4,1,0,3,1,10/22/08 0:00
46153,2,1,2,0,10.700418,37.176933,2018,4,3,0,0,1,10/26/08 0:00
46154,2,1,2,0,10.700418,37.176933,2018,4,3,3,0,1,10/26/08 0:00
46155,2,1,2,0,10.700418,37.176933,2018,4,2,2,1,1,10/26/08 0:00
46156,2,1,2,0,10.700418,37.176933,2018,4,2,0,0,1,10/26/08 0:00
46157,2,1,2,0,10.700418,37.176933,2018,4,2,1,0,1,10/26/08 0:00
46158,2,1,2,0,10.700418,37.176933,2018,4,3,0,0,1,10/26/08 0:00
46160,2,1,2,0,11.280774,37.48764,2182,4,2,0,0,1,10/28/08 0:00
46163,2,1,2,0,11.280774,37.48764,2182,4,3,0,0,1,10/28/08 0:00
45670,2,1,2,0,9.49798,37.43777,2284,5,-9,-9,2,1,11/9/08 0:00
45678,2,1,2,0,9.41466,37.1142,2282,4,3,-9,1,1,11/11/08 0:00
45680,2,1,2,0,9.04295,36.84037,1751,-9,3,-9,0,1,11/11/08 0:00
45689,2,1,2,0,8.97426,37.56565,2329,6,-9,-9,2,1,11/13/08 0:00
45688,-9,-9,2,0,9.00759,37.46336,2584,4,1,-9,2,1,11/13/08 0:00
45686,-9,-9,2,0,9.01224,37.40395,2036,6,2,-9,1,1,11/13/08 0:00
45830,2,1,2,0,11.56265,39.25767,2510,5,2,1,3,1,11/18/08 0:00
46164,-9,-9,2,0,9.41693,41.95143,2032,6,3,-9,0,1,11/19/08 0:00
46166,-9,-9,2,0,9.42053,41.62365,2146,6,2,-9,0,1,11/19/08 0:00
46170,-9,-9,2,0,9.17785,41.3228,2708,4,3,2,2,1,11/19/08 0:00
46171,-9,-9,2,0,9.166,41.29772,2702,4,1,1,3,1,11/19/08 0:00
46173,-9,-9,2,0,9.10435,41.18572,2458,5,0,-9,3,1,11/19/08 0:00
45833,2,1,2,0,11.488117,38.42719,2908,5,0,-9,2,1,11/19/08 0:00
46174,-9,-9,2,0,9.17772,41.13617,2202,5,3,1,1,1,11/20/08 0:00
46179,-9,-9,2,0,9.3417,41.29662,2289,-9,3,1,0,1,11/21/08 0:00
46178,-9,-9,2,0,9.26067,41.11283,2242,6,3,2,3,1,11/21/08 0:00
46177,-9,-9,2,0,9.21888,41.1079,1810,5,3,3,0,1,11/21/08 0:00
46180,-9,-9,2,0,9.19973,41.1049,1748,5,3,1,0,1,11/21/08 0:00
45849,2,1,2,0,11.34446,39.10455,3008,3,0,-9,2,1,11/21/08 0:00
46182,-9,-9,2,0,9.28938,41.56947,2668,4,3,-9,3,1,11/22/08 0:00
46181,-9,-9,2,0,9.30258,41.55557,2637,4,3,-9,3,1,11/22/08 0:00
45863,2,1,2,0,10.47846,39.09828,2778,4,0,-9,2,1,11/23/08 0:00
45864,2,1,2,0,10.48678,39.003,2656,5,0,-9,2,1,11/23/08 0:00
45868,2,1,2,0,10.35244,38.44955,2394,5,1,1,3,1,11/23/08 0:00
45869,2,1,2,0,10.34843,38.43573,2390,4,0,-9,3,1,11/23/08 0:00
45871,2,1,2,0,10.44811,38.44587,2524,6,0,-9,3,1,11/24/08 0:00
45872,2,1,2,0,10.44806,38.44451,2504,5,2,1,0,1,11/24/08 0:00
45883,2,1,2,0,10.40199,39.09672,2515,5,0,-9,3,1,11/25/08 0:00
46183,-9,-9,2,0,9.41557,42.03683,2016,6,3,2,0,1,11/26/08 0:00
46184,-9,-9,2,0,9.41557,42.03683,2016,5,3,-9,0,1,11/26/08 0:00
45914,2,1,2,0,11.0555,39.34028,2290,5,1,-9,2,1,11/29/08 0:00
45940,2,1,2,0,9.93786,39.20156,2651,3,0,-9,2,1,11/29/08 0:00
46011,2,1,2,0,7.09296,40.10347,2423,5,1,-9,2,1,12/8/08 0:00
46014,2,1,2,0,7.10409,40.03776,2466,5,1,-9,2,1,12/8/08 0:00
46017,2,1,2,0,7.28631,39.88174,2458,5,2,-9,0,1,12/9/08 0:00
46027,2,1,2,0,7.36999,39.87081,2362,5,2,-9,0,1,12/9/08 0:00
46019,2,1,2,0,7.35474,39.86269,2377,5,2,-9,0,1,12/9/08 0:00
46020,2,1,2,0,7.35474,39.86269,2377,5,2,-9,2,1,12/9/08 0:00
46018,2,1,2,0,7.35437,39.86246,2377,5,2,-9,0,1,12/9/08 0:00
46025,2,1,2,0,7.36546,39.85862,2369,5,2,-9,2,1,12/9/08 0:00
46022,2,1,2,0,7.36246,39.85595,2388,5,2,-9,0,1,12/9/08 0:00
46024,2,1,2,0,7.37194,39.85507,2361,5,2,-9,0,1,12/9/08 0:00
46045,2,1,2,0,7.13241,40.00424,2427,5,2,-9,2,1,12/10/08 0:00
46042,2,1,2,0,7.17091,39.98069,2409,5,2,-9,2,1,12/10/08 0:00
46029,2,1,2,0,7.19077,39.9684,2395,4,2,-9,0,1,12/10/08 0:00
46031,2,1,2,0,7.25318,39.91087,2485,4,2,-9,0,1,12/10/08 0:00
46034,2,1,2,0,7.26857,39.8565,2496,4,2,-9,0,1,12/10/08 0:00
46054,2,1,2,0,7.18557,40.00047,2403,5,2,-9,2,1,12/11/08 0:00
46055,2,1,2,0,7.18557,40.00047,2403,5,2,-9,1,1,12/11/08 0:00
46049,2,1,2,0,7.17939,39.99588,2409,5,2,-9,2,1,12/11/08 0:00
46086,2,1,2,0,7.14699,40.68887,1936,3,0,-9,3,1,12/14/08 0:00
46085,2,1,2,0,7.13777,40.6629,1962,3,0,-9,3,1,12/14/08 0:00
46084,2,1,2,0,7.13795,40.66274,1959,3,0,-9,2,1,12/14/08 0:00
46083,2,1,2,0,7.12538,40.64391,1946,4,0,-9,3,1,12/14/08 0:00
46082,2,1,2,0,7.10753,40.63177,1962,4,0,-9,3,1,12/14/08 0:00
46081,2,1,2,0,7.08165,40.53152,1739,4,1,1,2,1,12/14/08 0:00
46079,2,1,2,0,7.00724,40.48906,1783,4,0,1,2,1,12/14/08 0:00
46078,2,1,2,0,6.99848,40.46504,1816,5,0,1,2,1,12/14/08 0:00
46075,2,1,2,0,7.01299,40.41208,1968,4,0,-9,2,1,12/14/08 0:00
46074,2,1,2,0,7.02177,40.37318,2071,4,0,-9,2,1,12/14/08 0:00
46073,2,1,2,0,7.02189,40.37273,2069,4,0,-9,3,1,12/14/08 0:00
46070,2,1,2,0,6.92642,40.32379,2172,4,0,-9,3,1,12/14/08 0:00
46071,2,1,2,0,6.92404,40.3152,2181,4,0,-9,3,1,12/14/08 0:00
46088,2,1,2,0,7.17829,40.73309,1872,4,1,-9,2,1,12/15/08 0:00
46087,2,1,2,0,7.14931,40.71186,1926,4,1,-9,2,1,12/15/08 0:00
46093,2,1,2,0,7.32101,40.67072,1955,5,1,-9,2,1,12/15/08 0:00
46094,2,1,2,0,7.33208,40.66801,1924,5,1,2,2,1,12/15/08 0:00
46095,2,1,2,0,7.1526,40.66177,1972,3,0,-9,3,1,12/15/08 0:00
46099,2,1,2,0,7.2121,40.53325,2169,5,1,-9,3,1,12/15/08 0:00
46104,2,1,2,0,7.33381,40.49826,2028,4,1,1,2,1,12/15/08 0:00
46102,2,1,2,0,7.28312,40.49002,2089,4,0,1,2,1,12/15/08 0:00
46096,2,1,2,0,7.17673,40.16903,2062,3,0,1,3,1,12/15/08 0:00
46108,2,1,2,0,7.47462,40.61733,1921,4,1,-9,3,1,12/16/08 0:00
46106,2,1,2,0,7.44267,40.55399,2026,5,0,1,2,1,12/16/08 0:00
46105,2,1,2,0,7.41284,40.52512,1945,5,0,1,2,1,12/16/08 0:00
46111,2,1,2,0,7.23733,40.43031,2286,4,1,-9,2,1,12/16/08 0:00
46134,2,1,2,0,7.01644,40.04369,2500,5,1,-9,2,1,12/17/08 0:00
46132,2,1,2,0,7.01023,40.01198,2550,5,1,-9,2,1,12/17/08 0:00
46122,2,1,2,0,7.16629,39.96266,2420,5,2,-9,1,1,12/17/08 0:00
46138,2,1,2,0,7.01692,40.08505,2480,5,1,-9,2,1,12/18/08 0:00
