Location ID,HostGenusID,HostSpeciesID,PathogenGenusID,PathogenSpeciesID,Latitude,Longitude,Altitude,GrowthStageID,SeverityStem,SeverityLeaf,SeverityStripe,Diseased,ObsDate
60650,2,1,2,0,7.00297,39.13256,2446,4,1,0,0,0,8/11/14 0:00
43597,2,1,2,0,8.416304,39.323075,0,1,0,0,0,0,8/18/14 0:00
43598,2,1,2,0,8.318187,39.319809,0,1,0,0,0,0,8/18/14 0:00
43593,2,1,2,0,8.015953,39.156808,2214,1,1,0,0,0,8/18/14 0:00
43594,2,1,2,0,8.016643,39.14933,2214,1,1,0,0,0,8/18/14 0:00
43596,2,1,2,0,8.772009,39.000795,0,1,0,0,0,0,8/18/14 0:00
43599,2,1,2,0,7.543982,39.255827,0,1,0,0,0,0,8/19/14 0:00
43600,2,1,2,0,7.120031,39.199121,0,2,0,0,0,0,8/19/14 0:00
43601,2,1,2,0,7.325825,38.658298,1919,1,0,0,0,0,8/19/14 0:00
43607,2,1,2,0,8.94897,38.1158,2305,4,1,0,0,0,9/5/14 0:00
43609,2,1,2,0,8.83014,38.105,2399,3,1,0,0,0,9/5/14 0:00
43608,2,1,2,0,8.88666,38.096,2518,4,0,0,1,0,9/5/14 0:00
60812,2,1,2,0,7.6688167,38.0008,2050,5,1,0,0,0,9/16/14 0:00
60553,2,1,2,0,7.6116833,37.92535,2216,4,1,0,0,0,9/16/14 0:00
60813,2,1,2,0,7.64725,37.8464,2446,5,1,0,0,0,9/16/14 0:00
60554,2,1,2,0,7.6789,37.7835667,2453,4,1,0,0,0,9/16/14 0:00
60393,2,1,2,0,7.4014,37.7577667,2415,3,1,0,0,0,9/16/14 0:00
60584,2,1,2,0,7.38675,37.7294833,2664,4,1,0,0,0,9/16/14 0:00
60587,2,1,2,0,7.4695667,37.6948,2117,4,1,0,0,0,9/16/14 0:00
60585,2,1,2,0,7.3457,37.6941833,2506,4,1,0,0,0,9/16/14 0:00
60394,2,1,2,0,7.3304333,37.6622833,2549,3,1,0,0,0,9/16/14 0:00
60588,2,1,2,0,7.4659333,37.6507,2071,4,1,0,0,0,9/16/14 0:00
60664,2,1,2,0,7.65795,37.9673833,2203,4,1,0,0,0,9/17/14 0:00
60815,2,1,2,0,7.3742667,37.8601833,2190,5,1,0,0,0,9/17/14 0:00
60957,2,1,2,0,7.60815,37.86005,2327,5,1,0,0,0,9/17/14 0:00
60590,2,1,2,0,7.64725,37.8464,2446,4,1,0,0,0,9/17/14 0:00
60594,2,1,2,0,7.5694667,37.8435167,2259,4,1,0,0,0,9/17/14 0:00
60591,2,1,2,0,7.6615,37.8338333,2513,4,1,0,0,0,9/17/14 0:00
61014,2,1,2,0,7.5310333,37.8331,2218,5,1,2,0,0,9/17/14 0:00
60556,2,1,2,0,7.3121667,37.8267333,2459,4,1,0,0,0,9/17/14 0:00
60592,2,1,2,0,7.6866333,37.8120167,2584,4,1,0,0,0,9/17/14 0:00
60375,2,1,2,0,7.3775667,37.79,2487,3,1,0,0,0,9/17/14 0:00
60397,2,1,2,0,7.3169833,37.7821167,2730,3,1,0,0,0,9/17/14 0:00
60469,2,1,2,0,7.3935333,37.7645833,2479,3,1,0,0,0,9/17/14 0:00
60396,2,1,2,0,7.2886333,37.7553667,2513,3,1,0,1,0,9/17/14 0:00
60555,2,1,2,0,7.2886333,37.7553667,2513,4,1,0,0,0,9/17/14 0:00
60593,2,1,2,0,7.6895667,37.7516167,2239,4,1,0,0,0,9/17/14 0:00
60814,2,1,2,0,7.2543167,37.73045,2218,5,1,0,0,0,9/17/14 0:00
57947,2,1,2,0,8.9502,38.18119,2147,2,1,0,0,0,9/18/14 0:00
60398,2,1,2,0,7.4480667,37.8347,2229,3,1,0,0,0,9/18/14 0:00
60599,2,1,2,0,7.3121667,37.8267333,2459,4,1,0,0,0,9/18/14 0:00
