Location ID,HostGenusID,HostSpeciesID,PathogenGenusID,PathogenSpeciesID,Latitude,Longitude,Altitude,GrowthStageID,SeverityStem,SeverityLeaf,SeverityStripe,Diseased,ObsDate
48263,2,1,2,0,9.29292,42.14878,2556,5,0,0,3,1,11/15/10 0:00
48260,2,1,2,0,9.23853,42.06439,2186,5,1,1,3,1,11/15/10 0:00
46183,-9,-9,2,0,9.41557,42.03683,2016,6,3,2,0,1,11/26/08 0:00
46184,-9,-9,2,0,9.41557,42.03683,2016,5,3,-9,0,1,11/26/08 0:00
49853,2,1,2,0,9.24969,42.02219,1980,6,2,0,0,1,10/31/12 0:00
49854,2,1,2,0,9.24969,42.02219,1980,6,2,0,0,1,10/31/12 0:00
49858,2,1,2,0,9.24969,42.02219,1980,6,2,1,1,1,10/31/12 0:00
49859,2,1,2,0,9.24969,42.02219,1980,6,3,1,0,1,10/31/12 0:00
49860,2,1,2,0,9.24969,42.02219,1980,6,3,0,0,1,10/31/12 0:00
49861,2,1,2,0,9.24969,42.02219,1980,6,3,0,0,1,10/31/12 0:00
49862,2,1,2,0,9.24969,42.02219,1980,6,2,0,0,1,10/31/12 0:00
49863,2,1,2,0,9.24969,42.02219,1980,6,3,0,0,1,10/31/12 0:00
48270,2,1,2,0,9.25178,42.02199,2031,5,3,0,0,1,11/17/10 0:00
48271,2,1,2,0,9.25178,42.02199,2031,5,3,0,0,1,11/17/10 0:00
48272,2,1,2,0,9.25178,42.02199,2031,5,3,0,0,1,11/17/10 0:00
48273,2,1,2,0,9.25178,42.02199,2031,5,3,0,0,1,11/17/10 0:00
48274,2,1,2,0,9.25178,42.02199,2031,5,3,0,0,1,11/17/10 0:00
46164,-9,-9,2,0,9.41693,41.95143,2032,6,3,-9,0,1,11/19/08 0:00
48529,2,1,2,0,9.20045,41.78825,2494,5,0,0,2,1,11/15/11 0:00
46166,-9,-9,2,0,9.42053,41.62365,2146,6,2,-9,0,1,11/19/08 0:00
46182,-9,-9,2,0,9.28938,41.56947,2668,4,3,-9,3,1,11/22/08 0:00
46181,-9,-9,2,0,9.30258,41.55557,2637,4,3,-9,3,1,11/22/08 0:00
48242,2,1,2,0,9.26856,41.5032,2133,6,0,1,3,1,11/13/10 0:00
48243,2,1,2,0,9.26856,41.5032,2133,6,2,0,3,1,11/13/10 0:00
48266,2,1,2,0,9.12495,41.4883,2519,5,0,0,3,1,11/16/10 0:00
48268,2,1,2,0,9.09885,41.47459,2485,6,0,1,3,1,11/16/10 0:00
48267,2,1,2,0,9.12027,41.47298,2494,4,1,1,3,1,11/16/10 0:00
48244,2,1,2,0,9.26405,41.42609,2313,4,1,0,3,1,11/13/10 0:00
48246,2,1,2,0,9.24612,41.35862,2239,5,0,0,3,1,11/13/10 0:00
46170,-9,-9,2,0,9.17785,41.3228,2708,4,3,2,2,1,11/19/08 0:00
