Location ID,HostGenusID,HostSpeciesID,PathogenGenusID,PathogenSpeciesID,Latitude,Longitude,Altitude,GrowthStageID,SeverityStem,SeverityLeaf,SeverityStripe,Diseased,ObsDate
49527,2,1,2,0,7.44493,39.58546,2443,6,0,0,0,0,11/13/12 0:00
49518,2,1,2,0,7.49105,39.31069,2528,5,0,0,0,0,11/12/12 0:00
50963,2,2,2,0,8.09833,38.4699,1847,4,0,1,0,0,9/27/13 0:00
48493,2,1,2,0,9.40395,42.74095,1736,5,0,0,0,0,11/7/11 0:00
48494,2,1,2,0,9.4076167,42.7356333,1740,5,0,0,0,0,11/7/11 0:00
48496,2,1,2,0,9.4906833,42.6466,1980,5,0,0,0,0,11/7/11 0:00
48497,2,1,2,0,9.53435,42.53705,2008,5,0,0,0,0,11/7/11 0:00
48257,2,1,2,0,9.24237,42.44457,1736,3,0,0,0,0,11/15/10 0:00
48258,2,1,2,0,9.24497,42.44138,1740,5,0,0,0,0,11/15/10 0:00
48259,2,1,2,0,9.29441,42.38796,1980,3,0,0,0,0,11/15/10 0:00
49852,2,1,2,0,9.29886,42.37746,1990,3,0,0,0,0,9/30/12 0:00
48501,2,1,2,0,9.4955167,42.3028333,2538,5,0,0,0,0,11/8/11 0:00
48500,2,1,2,0,9.4882,42.2479667,2556,5,0,0,0,0,11/8/11 0:00
48502,2,1,2,0,9.4556667,42.2417,2535,5,0,0,1,0,11/8/11 0:00
48503,2,1,2,0,9.4879333,42.2349,2534,5,0,0,1,0,11/9/11 0:00
48499,2,1,2,0,9.4868333,42.2146333,2495,5,0,0,0,0,11/8/11 0:00
48504,2,1,2,0,9.4866,42.2141667,2491,5,0,0,1,0,11/9/11 0:00
48491,2,1,2,0,9.4834,42.2076833,2447,5,0,0,0,0,11/7/11 0:00
48492,2,1,2,0,9.4833167,42.2076333,2452,5,0,0,0,0,11/7/11 0:00
48264,2,1,2,0,9.29731,42.1817,2538,5,0,0,0,0,11/15/10 0:00
48263,2,1,2,0,9.29292,42.14878,2556,5,0,0,3,1,11/15/10 0:00
49848,2,1,2,0,9.29388,42.14483,2400,6,0,1,0,0,9/30/12 0:00
49847,2,1,2,0,9.29076,42.14076,2420,6,0,2,0,0,9/30/12 0:00
49846,2,1,2,0,9.29162,42.13411,2330,6,0,0,0,0,9/30/12 0:00
48262,2,1,2,0,9.2921,42.12878,2495,5,0,0,0,0,11/15/10 0:00
48261,2,1,2,0,9.29004,42.12461,2447,6,0,0,0,0,11/15/10 0:00
48498,2,1,2,0,9.3477167,42.1103333,2060,5,0,0,0,0,11/7/11 0:00
48490,2,1,2,0,9.39755,42.1073167,2186,4,0,0,0,0,11/17/11 0:00
48495,2,1,2,0,9.1169167,42.0810833,1664,5,0,0,0,0,11/7/11 0:00
48260,2,1,2,0,9.23853,42.06439,2186,5,1,1,3,1,11/15/10 0:00
48532,2,1,2,0,9.4196333,42.0433167,2031,5,0,1,0,0,11/6/11 0:00
46183,-9,-9,2,0,9.41557,42.03683,2016,6,3,2,0,1,11/26/08 0:00
46184,-9,-9,2,0,9.41557,42.03683,2016,5,3,-9,0,1,11/26/08 0:00
49853,2,1,2,0,9.24969,42.02219,1980,6,2,0,0,0,10/31/12 0:00
49854,2,1,2,0,9.24969,42.02219,1980,6,2,0,0,0,10/31/12 0:00
49855,2,1,2,0,9.24969,42.02219,1980,6,1,0,0,0,10/31/12 0:00
49856,2,1,2,0,9.24969,42.02219,1980,6,1,0,0,0,10/31/12 0:00
49857,2,1,2,0,9.24969,42.02219,1980,6,1,0,0,0,10/31/12 0:00
49858,2,1,2,0,9.24969,42.02219,1980,6,2,1,1,0,10/31/12 0:00
49859,2,1,2,0,9.24969,42.02219,1980,6,3,1,0,1,10/31/12 0:00
49860,2,1,2,0,9.24969,42.02219,1980,6,3,0,0,1,10/31/12 0:00
49861,2,1,2,0,9.24969,42.02219,1980,6,3,0,0,1,10/31/12 0:00
49862,2,1,2,0,9.24969,42.02219,1980,6,2,0,0,0,10/31/12 0:00
49863,2,1,2,0,9.24969,42.02219,1980,6,3,0,0,1,10/31/12 0:00
49864,2,1,2,0,9.24969,42.02219,1980,6,1,0,0,0,10/31/12 0:00
49865,2,1,2,0,9.24969,42.02219,1980,6,1,0,0,0,11/24/12 0:00
48270,2,1,2,0,9.25178,42.02199,2031,5,3,0,0,1,11/17/10 0:00
48271,2,1,2,0,9.25178,42.02199,2031,5,3,0,0,1,11/17/10 0:00
48272,2,1,2,0,9.25178,42.02199,2031,5,3,0,0,1,11/17/10 0:00
48273,2,1,2,0,9.25178,42.02199,2031,5,3,0,0,1,11/17/10 0:00
48274,2,1,2,0,9.25178,42.02199,2031,5,3,0,0,1,11/17/10 0:00
46164,-9,-9,2,0,9.41693,41.95143,2032,6,3,-9,0,1,11/19/08 0:00
48506,2,1,2,0,9.4476333,41.8387,2133,5,0,0,0,0,11/9/11 0:00
48505,2,1,2,0,9.4476,41.8386667,2133,5,0,0,0,0,11/9/11 0:00
48508,2,1,2,0,9.4478333,41.8337,2128,5,0,0,0,0,11/9/11 0:00
48524,2,1,2,0,9.20825,41.8138333,2519,5,0,0,0,0,11/14/11 0:00
48531,2,1,2,0,9.1315167,41.8137833,2490,5,0,0,1,0,11/15/11 0:00
48523,2,1,2,0,9.23425,41.8136333,2405,5,0,0,0,0,11/14/11 0:00
48525,2,1,2,0,9.2342,41.8133667,2397,4,0,0,0,0,11/14/11 0:00
48528,2,1,2,0,9.2313167,41.81225,2421,5,0,0,0,0,11/15/11 0:00
48526,2,1,2,0,9.2067,41.8008167,2491,4,0,0,0,0,11/14/11 0:00
48530,2,1,2,0,9.16475,41.7909833,2485,5,0,0,1,0,11/15/11 0:00
48529,2,1,2,0,9.20045,41.78825,2494,5,0,0,2,0,11/15/11 0:00
46165,-9,-9,2,0,9.44173,41.77542,2013,6,1,-9,0,0,11/19/08 0:00
48507,2,1,2,0,9.44055,41.7751167,2019,4,0,0,0,0,11/9/11 0:00
48509,2,1,2,0,9.4400833,41.71015,2313,5,0,0,0,0,11/10/11 0:00
46166,-9,-9,2,0,9.42053,41.62365,2146,6,2,-9,0,0,11/19/08 0:00
48510,2,1,2,0,9.4159,41.6171667,2142,5,0,0,0,0,11/10/11 0:00
48511,2,1,2,0,9.4102,41.5977,2239,5,0,0,0,0,11/11/11 0:00
46182,-9,-9,2,0,9.28938,41.56947,2668,4,3,-9,3,1,11/22/08 0:00
46181,-9,-9,2,0,9.30258,41.55557,2637,4,3,-9,3,1,11/22/08 0:00
49866,2,1,2,0,9.26834,41.50805,2107,6,0,1,0,0,11/24/12 0:00
48242,2,1,2,0,9.26856,41.5032,2133,6,0,1,3,1,11/13/10 0:00
48243,2,1,2,0,9.26856,41.5032,2133,6,2,0,3,1,11/13/10 0:00
49878,2,1,2,0,9.26806,41.50102,2000,6,0,0,0,0,11/25/12 0:00
48266,2,1,2,0,9.12495,41.4883,2519,5,0,0,3,1,11/16/10 0:00
48269,2,1,2,0,9.08891,41.48827,2485,5,0,3,0,0,11/16/10 0:00
48265,2,1,2,0,9.14055,41.48818,2405,5,0,0,0,0,11/16/10 0:00
48268,2,1,2,0,9.09885,41.47459,2485,6,0,1,3,1,11/16/10 0:00
48267,2,1,2,0,9.12027,41.47298,2494,4,1,1,3,1,11/16/10 0:00
46168,-9,-9,2,0,9.338047,41.452353,2442,4,1,3,0,0,11/21/08 0:00
48515,2,1,2,0,9.3141667,41.4327167,2406,5,0,0,0,0,11/12/11 0:00
49867,2,1,2,0,9.26409,41.42614,2319,6,1,1,1,0,11/24/12 0:00
48244,2,1,2,0,9.26405,41.42609,2313,4,1,0,3,1,11/13/10 0:00
46167,-9,-9,2,0,9.294,41.40242,2406,-9,1,3,0,0,11/19/08 0:00
