Location ID,HostGenusID,HostGenusNameScientific,HostSpeciesID,HostSpeciesNameScientific,HostCultivarName,PathogenGenusID,PathogenGenusNameScientific,PathogenSpeciesID,PathogenSpeciesNameScientific,UserInit,ObsYear,CountryID,CountryName,RegionID,Latitude,Longitude,Altitude,LocationName,FieldArea,SurveySiteID,SurveySiteName,Observation ID,ObsDate,SurveyorName,InstitutionName,GrowthStageID,GrowthStageName,Comment,DiseaseID,PathogenSpeciesName,Severity,SeverityName,Incidence,IncidenceName,InfectionType,InfectionTypeName,DiseaseID.1,PathogenSpeciesName.1,Severity.1,SeverityName.1,Incidence.1,IncidenceName.1,InfectionType.1,InfectionTypeName.1,DiseaseID.2,PathogenSpeciesName.2,Severity.2,SeverityName.2,Incidence.2,IncidenceName.2,InfectionType.2,InfectionTypeName.2,Diseased
49527,2,Triticum,1,aestivum,Digalu,2,Puccinia,0, sp.,GEW,2012,ET,Ethiopia,0,7.44493,39.58546,2443,Yedollea,0.25,1,Farmer field,1,11/13/12 0:00,,EARI,6,Maturity,,1,Stem rust,0,None (0),0,None (0),-9,N/A,2,Leaf Rust,0,None (0),0,None (0),-9,N/A,3,Stripe Rust,0,None (0),0,None (0),-9,N/A,0
49518,2,Triticum,1,aestivum,Mada walabu,2,Puccinia,0, sp.,GEW,2012,ET,Ethiopia,0,7.49105,39.31069,2528,Qorofeta,0.25,1,Farmer field,1,11/12/12 0:00,,EARI,5,Dough,,1,Stem rust,0,None (0),1,Low (less than 20 %),9,S,2,Leaf Rust,0,None (0),0,None (0),-9,N/A,3,Stripe Rust,0,None (0),0,None (0),-9,N/A,0
50963,2,Triticum,2,durum,UDE,2,Puccinia,0, sp.,GEW,2013,ET,Ethiopia,0,8.09833,38.4699,1847,"SNNP,GURAGHE,MISKAN,NEJANO",0.1,1,Farmer field,1,9/27/13 0:00,,EIAR,4,Milk,,1,Stem rust,0,None (0),0,None (0),-9,N/A,2,Leaf Rust,1,Low (less than 20 %),1,Low (less than 20 %),3,MR,3,Stripe Rust,0,None (0),0,None (0),-9,N/A,1
48493,2,Triticum,1,aestivum,Local,2,Puccinia,0, sp.,GEW,2011,ET,Ethiopia,0,9.40395,42.74095,1736,"Umeajey, ",1,1,Farmer field,1,11/7/11 0:00,Haromaya University,Haromaya University,5,Dough,,1,Stem rust,0,None (0),0,None (0),-9,N/A,2,Leaf Rust,0,None (0),0,None (0),-9,N/A,3,Stripe Rust,0,None (0),0,None (0),-9,N/A,0
48494,2,Triticum,1,aestivum,Improved,2,Puccinia,0, sp.,GEW,2011,ET,Ethiopia,0,9.4076167,42.7356333,1740,"Wataharafa, ",1,1,Farmer field,1,11/7/11 0:00,Haromaya University,Haromaya University,5,Dough,,1,Stem rust,0,None (0),0,None (0),-9,N/A,2,Leaf Rust,0,None (0),0,None (0),-9,N/A,3,Stripe Rust,0,None (0),0,None (0),-9,N/A,0
48496,2,Triticum,1,aestivum,Unknown,2,Puccinia,0, sp.,GEW,2011,ET,Ethiopia,0,9.4906833,42.6466,1980,"Almale, ",0.25,1,Farmer field,1,11/7/11 0:00,Haromaya University,Haromaya University,5,Dough,,1,Stem rust,0,None (0),0,None (0),-9,N/A,2,Leaf Rust,0,None (0),0,None (0),-9,N/A,3,Stripe Rust,0,None (0),0,None (0),-9,N/A,0
48497,2,Triticum,1,aestivum,Unknown,2,Puccinia,0, sp.,GEW,2011,ET,Ethiopia,0,9.53435,42.53705,2008,"Yugyug, ",0.1,1,Farmer field,1,11/7/11 0:00,Haromaya University,Haromaya University,5,Dough,,1,Stem rust,0,None (0),0,None (0),-9,N/A,2,Leaf Rust,0,None (0),0,None (0),-9,N/A,3,Stripe Rust,0,None (0),0,None (0),-9,N/A,0
48257,2,Triticum,1,aestivum,,2,Puccinia,0, sp.,GEW,2010,ET,Ethiopia,0,9.24237,42.44457,1736,"UMERJEY, JIJIGA",1,1,Farmer field,1,11/15/10 0:00,EIAR,EIAR,3,Flowering,,1,Stem rust,0,None (0),0,None (0),-9,N/A,2,Leaf Rust,0,None (0),0,None (0),-9,N/A,3,Stripe Rust,0,None (0),0,None (0),-9,N/A,0
48258,2,Triticum,1,aestivum,,2,Puccinia,0, sp.,GEW,2010,ET,Ethiopia,0,9.24497,42.44138,1740,"WATAHARTA, JIJIGA",0.5,1,Farmer field,1,11/15/10 0:00,EIAR,EIAR,5,Dough,,1,Stem rust,0,None (0),0,None (0),-9,N/A,2,Leaf Rust,0,None (0),0,None (0),-9,N/A,3,Stripe Rust,0,None (0),0,None (0),-9,N/A,0
48259,2,Triticum,1,aestivum,,2,Puccinia,0, sp.,GEW,2010,ET,Ethiopia,0,9.29441,42.38796,1980,"ALMALE, CHINAKSEN",0.75,1,Farmer field,1,11/15/10 0:00,EIAR,EIAR,3,Flowering,,1,Stem rust,0,None (0),0,None (0),-9,N/A,2,Leaf Rust,0,None (0),0,None (0),-9,N/A,3,Stripe Rust,0,None (0),0,None (0),-9,N/A,0
